id;name;area_id;area_name;salary_from;salary_to;salary_currency;url;employer_id;employer_name;snippet_requirement;snippet_responsibility;schedule_id;schedule_name;experience_id;experience_name
90648349;Системный аналитик;1;Москва;250000;;RUR;https://api.hh.ru/vacancies/90648349?host=hh.ru;3776;МТС;Опыт проектирования БД. <highlighttext>SQL</highlighttext> на уровне написания запросов. Владение нотациями построения диаграмм: UML (sequence, activity, state diagram), <highlighttext>C</highlighttext>4, ER. ;Интеллектуальная видеоплатформа, предоставляющая услуги видеонаблюдения и аналитики нашим клиентам. Платформа позволяет в режиме realtime анализировать видеопоток, выделять из него различные...;remote;Удаленная работа;between3And6;От 3 до 6 лет
91620623;Frontend-разработчик в Only;1240;Новокузнецк;100000;;RUR;https://api.hh.ru/vacancies/91620623?host=hh.ru;2049601;Онли;Уверенные знания HTML, CSS (SASS/SCSS). Опыт работы с <highlighttext>TypeScript</highlighttext>. Опыт работы со сборщиками (Webpack, Vite). Опыт командной разработки с...;Внутренний проект Only с командой. Разработка текущих клиентских проектов вместе с командой отдела разработки. Разработка клиентской части веб-приложений. ;fullDay;Полный день;between1And3;От 1 года до 3 лет
91731813;Специалист службы технической поддержки клиентов (L2);1;Москва;120000;180000;RUR;https://api.hh.ru/vacancies/91731813?host=hh.ru;4279510;Каллисто Вижн;Уверенные знания на уровне сетевого стека. Уверенные знание <highlighttext>SQL</highlighttext>, batch-<highlighttext>языков</highlighttext> (на базовом уровне приветствуется). Хорошие коммуникативные навыки, позитивность в...;Анализ и работа с БД (MS <highlighttext>SQL</highlighttext>) на практике, поиск и устранение проблем в консистентности данных (обучение по структуре БД...;shift;Сменный график;between3And6;От 3 до 6 лет
92076460;Менеджер по продажам;1;Москва;110000;;RUR;https://api.hh.ru/vacancies/92076460?host=hh.ru;2863076;Skillbox;Имеешь успешный опыт в телефонных продажах от 1 года. Выкладываешься на 100% для достижения результата. Стремишься к постоянному улучшению своих...;"Продавать образовательные курсы Skillbox с помощью телефонных звонков. Работать с """"горячей """" или """"теплой"""" базой клиентов, без холодных звонков. ";remote;Удаленная работа;between1And3;От 1 года до 3 лет
92354865;PHP Developer;1;Москва;200000;;RUR;https://api.hh.ru/vacancies/92354865?host=hh.ru;2598384;Perfect Panel;Имеете опыт профессиональной разработки более двух лет. — Уверенно владеете <highlighttext>PHP</highlighttext> и одним из современных фреймворков. Опыт работы с Yii2...;Разработка функций (фич): бизнес-логики, внутренних алгоритмов, обработки больших объемов данных, оптимизации производительности. — Поддержка уже существующих функций (мы активно развиваемся...;fullDay;Полный день;between1And3;От 1 года до 3 лет
92908011;Системный аналитик;1;Москва;400000;;RUR;https://api.hh.ru/vacancies/92908011?host=hh.ru;5896;ТПС Недвижимость;Знание различных нотаций описания процессов (UML, IDEF, BPMN и т.д.). Знание <highlighttext>SQL</highlighttext>. Опыт интеграции с системами на базе 1...;Новые цифровые сервисы для клиентов. Единое аналитическое решение для руководителей. Цифровые пространство для сотрудников. Сбор, анализ и документирование потребностей и...;fullDay;Полный день;between3And6;От 3 до 6 лет
93563062;Разработчик С++ (Junior);1;Москва;;130000;RUR;https://api.hh.ru/vacancies/93563062?host=hh.ru;9261916;Дубайт;Опыт коммерческой разработки на <highlighttext>С++</highlighttext> от 1 года. Опыт работы с Linux на уровне продвинутого пользователя. Знание фундаментальных структур данных...;Разработка платформы для алгоритмической торговли на <highlighttext>C++</highlighttext>/Linux. Исследование биржевых площадок на предмет обнаружения неэффективностей. Профилирование и оптимизация собственного кода...;fullDay;Полный день;noExperience;Нет опыта
96981195;Ассистент бренд-менеджера / Специалист отдела маркетинга;2;Санкт-Петербург;50000;60000;RUR;https://api.hh.ru/vacancies/96981195?host=hh.ru;31089;ВИНК;Законченное высшее образование (в области маркетинга является преимуществом). Английский <highlighttext>язык</highlighttext> обязательно не ниже upper-intermediate (B2). Навыки работы <highlighttext>c</highlighttext>...;Анализ рынков и новых товаров. Проведение сравнительных тестов материалов. Анализ баз для выявления лидов. Работа с поставщиками. Управление товарными запасами. ;fullDay;Полный день;noExperience;Нет опыта
98273238;QA Engineer / Ручной тестировщик WEB-приложений;17;Белгород;65000;120000;RUR;https://api.hh.ru/vacancies/98273238?host=hh.ru;2661787;SoftMaster;Хорошее понимание основ и принципов и особенностей тестирования web-приложений. Понимание основных UI\UX концепций. Базовые знания <highlighttext>SQL</highlighttext>. ;Тестировать вручную фронт и бэк наших web-приложений, преимущественно методом черного, серого ящиков. Писать подробные баг-репорты и заносить их...;fullDay;Полный день;between1And3;От 1 года до 3 лет
98793747;QA Engineer / Ручной тестировщик WEB-приложений;75;Псков;65000;120000;RUR;https://api.hh.ru/vacancies/98793747?host=hh.ru;2661787;SoftMaster;Хорошее понимание основ и принципов и особенностей тестирования web-приложений. Понимание основных UI\UX концепций. Базовые знания <highlighttext>SQL</highlighttext>. ;Тестировать вручную фронт и бэк наших web-приложений, преимущественно методом черного, серого ящиков. Писать подробные баг-репорты и заносить их...;fullDay;Полный день;noExperience;Нет опыта
